full_name,given_name,surname,irish_flag
Charles J. Fleischmann,Charles,Fleischmann,0
Scott DesJarlais,Scott,DesJarlais,0
Jim Cooper,Jim,Cooper,0
John Rose,John,Rose,0
Mark Green,Mark,Green,0
David Kustoff,David,Kustoff,0
Steve Cohen,Steve,Cohen,0
Louis B. Gohmert Jr.,Louis,Gohmert,0
Daniel Crenshaw,Daniel,Crenshaw,0
Van Taylor,Van,Taylor,0
Pat Fallon,Pat,Fallon,0
Lance Gooden,Lance,Gooden,0
Jake Ellzey,Jake,Ellzey,0
Lizzie Pannill Fletcher,Lizzie,Pannill Fletcher,0
Kevin Brady,Kevin,Brady,0
Al Green,Al,Green,0
Michael McCaul,Michael,McCaul,0
August Pfluger,August,Pfluger,0
Kay Granger,Kay,Granger,0
Ronny L. Jackson,Ronny,Jackson,0
Randy Weber,Randy,Weber,0
Vicente Gonzalez Jr.,Vicente,Gonzalez,0
Veronica Escobar,Veronica,Escobar,0
Pete Sessions,Pete,Sessions,0
Sheila Jackson Lee,Sheila,Jackson Lee,0
Jodey Arrington,Jodey,Arrington,0
Joaquin Castro,Joaquin,Castro,0
Chip Roy,Chip,Roy,0
Troy Nehls,Troy,Nehls,0
Tony Gonzales,Tony,Gonzales,0
Beth Van Duyne,Beth,Van Duyne,0
Roger Williams,Roger,Williams,0
Michael C. Burgess,Michael,Burgess,0
Michael Cloud,Michael,Cloud,0
Henry Cuellar,Henry,Cuellar,0
Sylvia Garcia,Sylvia,Garcia,0
Eddie Bernice Johnson,Eddie,Bernice Johnson,0
John Carter,John,Carter,0
Colin Allred,Colin,Allred,0
Marc Veasey,Marc,Veasey,0
Filemon Vela,Filemon,Vela,0
Lloyd Doggett,Lloyd,Doggett,0
Brian Babin,Brian,Babin,0
Blake Moore,Blake,Moore,0
Chris Stewart,Chris,Stewart,0
John Curtis,John,Curtis,0
Burgess Owens,Burgess,Owens,0
Peter Welch,Peter,Welch,0
Stacey Plaskett,Stacey,Plaskett,0
Robert J. Wittman,Robert,Wittman,0
Elaine Luria,Elaine,Luria,0
Robert C. Scott,Robert,Scott,0
Aston Donald McEachin,Aston,Donald McEachin,0
Bob Good,Bob,Good,0
Benjamin Lee Cline,Benjamin,Lee Cline,0
Abigail Spanberger,Abigail,Spanberger,0
Donald Sternoff Beyer Jr.,Donald,Sternoff Beyer,0
H. Morgan Griffith,H.,Morgan Griffith,0
Jennifer Wexton,Jennifer,Wexton,0
Gerald Edward Connolly,Gerald,Edward Connolly,0
Suzan DelBene,Suzan,DelBene,0
Rick Larsen,Rick,Larsen,0
Jaime Herrera Beutler,Jaime,Herrera Beutler,0
Dan Newhouse,Dan,Newhouse,0
Cathy McMorris Rodgers,Cathy,McMorris Rodgers,0
Derek Kilmer,Derek,Kilmer,0
Pramila Jayapal,Pramila,Jayapal,0
Kim Schrier,Kim,Schrier,0
D. Adam Smith,D.,Adam Smith,0
Marilyn Strickland,Marilyn,Strickland,0
David McKinley,David,McKinley,0
Alexander Mooney,Alexander,Mooney,0
Carol Miller,Carol,Miller,0
Bryan Steil,Bryan,Steil,0
Mark Pocan,Mark,Pocan,0
Ronald James Kind,Ronald,James Kind,0
Gwen Moore,Gwen,Moore,0
Scott Fitzgerald,Scott,Fitzgerald,0
Glenn Grothman,Glenn,Grothman,0
Tom Tiffany,Tom,Tiffany,0
Mike Gallagher,Mike,Gallagher,0
Liz Cheney,Liz,Cheney,0
Roberto Lefranc Fortuño,Roberto,Lefranc Fortuño,0
María Meléndez Altieri,María,Meléndez Altieri,0
Ricardo Rosselló,Ricardo,Rosselló,0
Elizabeth Torres Rodriguez,Elizabeth,Torres Rodriguez,0
Narendra Modi,Narendra,Modi,0
Rajiv Ranjan,Rajiv,Ranjan,0
Pashupati Kumar Paras,Pashupati,Kumar Paras,0
Anupriya Patel,Anupriya,Patel,0
Preneet Kaur,Preneet,Kaur,0
Chirag Paswan,Chirag,Paswan,0
Agatha Sangma,Agatha,Sangma,0
Adhir Ranjan Chowdhury,Adhir,Ranjan Chowdhury,0
Supriya Sule,Supriya,Sule,0
Farooq Abdullah,Farooq,Abdullah,0
Vijay Hansdak,Vijay,Hansdak,0
Premchandran,Premchandran,,0
Sudip Bandyopadhyay,Sudip,Bandyopadhyay,0
Midhun Reddy,Midhun,Reddy,0
Vinayak Raut,Vinayak,Raut,0
Pinaki Misra,Pinaki,Misra,0
Ritesh Pandey,Ritesh,Pandey,0
Nageswara Rao,Nageswara,Rao,0
Mulayam Yadav,Mulayam,Yadav,0
Harsimrat Kaur Badal,Harsimrat Kaur,Badal,0
Prajwal Revanna,Prajwal,Revanna,0
Bhagwant Mann,Bhagwant,Mann,0
Badruddin Ajmal,Badruddin,Ajmal,0
Piyush Goyal,Piyush,Goyal,0
Prasanna Acharya,Prasanna,Acharya,0
Navaneethakrishnan,Navaneethakrishnan,,0
Hishey Lachungpa,Hishey,Lachungpa,0
Ramdas Athawale,Ramdas,Athawale,0
Derek O'Brien,Derek,O'Brien,0
Tiruchi Siva,Tiruchi,Siva,0
Elamaram Kareem,Elamaram,Kareem,0
Ram Gopal Yadav,Ram,Gopal Yadav,0
Sharad Pawar,Sharad,Pawar,0
Sanjay Raut,Sanjay,Raut,0
Sanjay Singh,Sanjay,Singh,0
Satish Mishra,Satish,Mishra,0
Binoy Viswam,Binoy,Viswam,0
Jose K. Mani,Jose,Mani,0
Abdul Wahab,Abdul,Wahab,0
Shibu Soren,Shibu,Soren,0
Shreyams Kumar,Shreyams,Kumar,0
Ajit Kumar Bhuyan,Ajit Kumar,Bhuyan,0
Aaron Bell,Aaron,Bell,0
Abena Oppong-Asare,Abena,Oppong-Asare,0
Adam Afriyie,Adam,Afriyie,0
Adam Holloway,Adam,Holloway,0
Afzal Khan,Afzal,Khan,0
Alan Brown,Alan,Brown,0
Alan Campbell,Alan,Campbell,0
Alan Mak,Alan,Mak,0
Alan Whitehead,Alan,Whitehead,0
Alberto Costa,Alberto,Costa,0
Alec Shelbrooke,Alec,Shelbrooke,0
Alex Burghart,Alex,Burghart,0
Alex Chalk,Alex,Chalk,0
Alex Cunningham,Alex,Cunningham,0
Alex Davies-Jones,Alex,Davies-Jones,0
Alex Norris,Alex,Norris,0
Alex Sobel,Alex,Sobel,0
Alexander Stafford,Alexander,Stafford,0
Alicia Kearns,Alicia,Kearns,0
Alison McGovern,Alison,McGovern,0
Alison Thewliss,Alison,Thewliss,0
Alistair Carmichael,Alistair,Carmichael,0
Alister Jack,Alister,Jack,0
Allan Dorans,Allan,Dorans,0
Alok Sharma,Alok,Sharma,0
Alun Cairns,Alun,Cairns,0
Alyn Smith,Alyn,Smith,0
Amanda Milling,Amanda,Milling,0
Amanda Solloway,Amanda,Solloway,0
Amy Callaghan,Amy,Callaghan,0
Andrea Jenkyns,Andrea,Jenkyns,0
Andrea Leadsom,Andrea,Leadsom,0
Andrew Bowie,Andrew,Bowie,0
Andrew Bridgen,Andrew,Bridgen,0
Andrew Griffith,Andrew,Griffith,0
Andrew Gwynne,Andrew,Gwynne,0
Andrew Jones,Andrew,Jones,0
Andrew Lewer,Andrew,Lewer,0
Andrew Mitchell,Andrew,Mitchell,0
Andrew Murrison,Andrew,Murrison,0
Andrew Percy,Andrew,Percy,0
Andrew Rosindell,Andrew,Rosindell,0
Andrew Selous,Andrew,Selous,0
Andrew Stephenson,Andrew,Stephenson,0
Andy Carter,Andy,Carter,0
Andy McDonald,Andy,McDonald,0
Andy Slaughter,Andy,Slaughter,0
Angela Crawley,Angela,Crawley,0
Angela Eagle,Angela,Eagle,0
Angela Rayner,Angela,Rayner,0
Angela Richardson,Angela,Richardson,0
Angus MacNeil,Angus,MacNeil,0
Anna Firth,Anna,Firth,0
Anna McMorrin,Anna,McMorrin,0
Anne Marie Morris,Anne Marie,Morris,0
Anne McLaughlin,Anne,McLaughlin,0
Anneliese Dodds,Anneliese,Dodds,0
Anne-Marie Trevelyan,Anne-Marie,Trevelyan,0
Anthony Browne,Anthony,Browne,0
Anthony Mangnall,Anthony,Mangnall,0
Antony Higginbotham,Antony,Higginbotham,0
Anum Qaisar,Anum,Qaisar,0
Apsana Begum,Apsana,Begum,0
Bambos Charalambous,Bambos,Charalambous,0
Barbara Keeley,Barbara,Keeley,0
Barry Gardiner,Barry,Gardiner,0
Barry Sheerman,Barry,Sheerman,0
Bell Ribeiro-Addy,Bell,Ribeiro-Addy,0
Ben Bradley,Ben,Bradley,0
Ben Bradshaw,Ben,Bradshaw,0
Ben Everitt,Ben,Everitt,0
Ben Lake,Ben,Lake,0
Ben Spencer,Ben,Spencer,0
Ben Wallace,Ben,Wallace,0
Bernard Jenkin,Bernard,Jenkin,0
Beth Winter,Beth,Winter,0
Bill Cash,Bill,Cash,0
Bill Esterson,Bill,Esterson,0
Bill Wiggin,Bill,Wiggin,0
Bim Afolami,Bim,Afolami,0
Bob Blackman,Bob,Blackman,0
Bob Neill,Bob,Neill,0
Bob Seely,Bob,Seely,0
Bob Stewart,Bob,Stewart,0
Boris Johnson,Boris,Johnson,0
Brandon Lewis,Brandon,Lewis,0
Brendan Clarke-Smith,Brendan,Clarke-Smith,0
Brendan O'Hara,Brendan,O'Hara,0
Bridget Phillipson,Bridget,Phillipson,0
Carla Lockhart,Carla,Lockhart,0
Carol Monaghan,Carol,Monaghan,0
Caroline Ansell,Caroline,Ansell,0
Caroline Dinenage,Caroline,Dinenage,0
Caroline Johnson,Caroline,Johnson,0
Caroline Lucas,Caroline,Lucas,0
Caroline Nokes,Caroline,Nokes,0
Carolyn Harris,Carolyn,Harris,0
Cat Smith,Cat,Smith,0
Catherine McKinnell,Catherine,McKinnell,0
Catherine West,Catherine,West,0
Charles Walker,Charles,Walker,0
Charlotte Nichols,Charlotte,Nichols,0
Cherilyn Mackrory,Cherilyn,Mackrory,0
Cheryl Gillan,Cheryl,Gillan,0
Chi Onwurah,Chi,Onwurah,0
Chloe Smith,Chloe,Smith,0
Chris Bryant,Chris,Bryant,0
Chris Clarkson,Chris,Clarkson,0
Chris Evans,Chris,Evans,0
Chris Grayling,Chris,Grayling,0
Chris Green,Chris,Green,0
Chris Hazzard,Chris,Hazzard,0
Chris Heaton-Harris,Chris,Heaton-Harris,0
Chris Law,Chris,Law,0
Chris Loder,Chris,Loder,0
Chris Matheson,Chris,Matheson,0
Chris Philp,Chris,Philp,0
Chris Skidmore,Chris,Skidmore,0
Chris Stephens,Chris,Stephens,0
Christian Wakeford,Christian,Wakeford,0
Christina Rees,Christina,Rees,0
Christine Jardine,Christine,Jardine,0
Christopher Chope,Christopher,Chope,0
Christopher Elmore,Christopher,Elmore,0
Christopher Pincher,Christopher,Pincher,0
Claire Coutinho,Claire,Coutinho,0
Claire Hanna,Claire,Hanna,0
Claudia Webbe,Claudia,Webbe,0
Clive Betts,Clive,Betts,0
Clive Efford,Clive,Efford,0
Clive Lewis,Clive,Lewis,0
Colleen Fletcher,Colleen,Fletcher,0
Colum Eastwood,Colum,Eastwood,0
Conor Burns,Conor,Burns,0
Conor McGinn,Conor,McGinn,0
Craig Mackinlay,Craig,Mackinlay,0
Craig Tracey,Craig,Tracey,0
Craig Whittaker,Craig,Whittaker,0
Craig Williams,Craig,Williams,0
Crispin Blunt,Crispin,Blunt,0
Daisy Cooper,Daisy,Cooper,0
Damian Collins,Damian,Collins,0
Damian Green,Damian,Green,0
Damian Hinds,Damian,Hinds,0
Damien Moore,Damien,Moore,0
Dan Carden,Dan,Carden,0
Dan Jarvis,Dan,Jarvis,0
Dan Poulter,Dan,Poulter,0
Daniel Kawczynski,Daniel,Kawczynski,0
Daniel Zeichner,Daniel,Zeichner,0
Danny Kruger,Danny,Kruger,0
Darren Henry,Darren,Henry,0
Darren Jones,Darren,Jones,0
Dave Doogan,Dave,Doogan,0
David Amess,David,Amess,0
David Davies,David,Davies,0
David Davis,David,Davis,0
David Duguid,David,Duguid,0
David Evennett,David,Evennett,0
David Johnston,David,Johnston,0
David Jones,David,Jones,0
David Lammy,David,Lammy,0
David Linden,David,Linden,0
David Morris,David,Morris,0
David Mundell,David,Mundell,0
David Rutley,David,Rutley,0
David Simmonds,David,Simmonds,0
David Warburton,David,Warburton,0
Dawn Butler,Dawn,Butler,0
Dean Russell,Dean,Russell,0
Debbie Abrahams,Debbie,Abrahams,0
Dehenna Davison,Dehenna,Davison,0
Deidre Brock,Deidre,Brock,0
Derek Thomas,Derek,Thomas,0
Derek Twigg,Derek,Twigg,0
Desmond Swayne,Desmond,Swayne,0
Diana Johnson,Diana,Johnson,0
Diane Abbott,Diane,Abbott,0
Dominic Raab,Dominic,Raab,0
Douglas Chapman,Douglas,Chapman,0
Douglas Ross,Douglas,Ross,0
Dr Kwasi Kwarteng,Dr Kwasi,Kwarteng,0
Drew Hendry,Drew,Hendry,0
Duncan Baker,Duncan,Baker,0
Ed Davey,Ed,Davey,0
Ed Miliband,Ed,Miliband,0
Eddie Hughes,Eddie,Hughes,0
Edward Argar,Edward,Argar,0
Edward Leigh,Edward,Leigh,0
Edward Timpson,Edward,Timpson,0
Eleanor Laing,Eleanor,Laing,0
Elizabeth Truss,Elizabeth,Truss,0
Ellie Reeves,Ellie,Reeves,0
Elliot Colburn,Elliot,Colburn,0
Emily Thornberry,Emily,Thornberry,0
Emma Hardy,Emma,Hardy,0
Emma Lewell-Buck,Emma,Lewell-Buck,0
Esther McVey,Esther,McVey,0
Fabian Hamilton,Fabian,Hamilton,0
Fay Jones,Fay,Jones,0
Felicity Buchan,Felicity,Buchan,0
Feryal Clark,Feryal,Clark,0
Fiona Bruce,Fiona,Bruce,0
Fleur Anderson,Fleur,Anderson,0
Flick Drummond,Flick,Drummond,0
Florence Eshalomi,Florence,Eshalomi,0
Francie Molloy,Francie,Molloy,0
Gagan Mohindra,Gagan,Mohindra,0
Gareth Bacon,Gareth,Bacon,0
Gareth Davies,Gareth,Davies,0
Gareth Johnson,Gareth,Johnson,0
Gareth Thomas,Gareth,Thomas,0
Gary Sambrook,Gary,Sambrook,0
Gary Streeter,Gary,Streeter,0
Gavin Newlands,Gavin,Newlands,0
Gavin Robinson,Gavin,Robinson,0
Gavin Williamson,Gavin,Williamson,0
Geoffrey Clifton-Brown,Geoffrey,Clifton-Brown,0
Geoffrey Cox,Geoffrey,Cox,0
George Eustice,George,Eustice,0
George Freeman,George,Freeman,0
George Howarth,George,Howarth,0
Geraint Davies,Geraint,Davies,0
Gerald Jones,Gerald,Jones,0
Giles Watling,Giles,Watling,0
Gill Furniss,Gill,Furniss,0
Gillian Keegan,Gillian,Keegan,0
Gordon Henderson,Gordon,Henderson,0
Graham Brady,Graham,Brady,0
Graham Stringer,Graham,Stringer,0
Graham Stuart,Graham,Stuart,0
Grahame Morris,Grahame,Morris,0
Grant Shapps,Grant,Shapps,0
Greg Clark,Greg,Clark,0
Greg Hands,Greg,Hands,0
Greg Knight,Greg,Knight,0
Greg Smith,Greg,Smith,0
Gregory Campbell,Gregory,Campbell,0
Guy Opperman,Guy,Opperman,0
Hannah Bardell,Hannah,Bardell,0
Harriet Harman,Harriet,Harman,0
Harriett Baldwin,Harriett,Baldwin,0
Heather Wheeler,Heather,Wheeler,0
Helen Grant,Helen,Grant,0
Helen Hayes,Helen,Hayes,0
Helen Morgan,Helen,Morgan,0
Helen Whately,Helen,Whately,0
Henry Smith,Henry,Smith,0
Hilary Benn,Hilary,Benn,0
Holly Lynch,Holly,Lynch,0
Holly Mumby-Croft,Holly,Mumby-Croft,0
Huw Merriman,Huw,Merriman,0
Hywel Williams,Hywel,Williams,0
Iain Duncan Smith,Iain Duncan,Smith,0
Iain Stewart,Iain,Stewart,0
Ian Blackford,Ian,Blackford,0
Ian Byrne,Ian,Byrne,0
Ian Lavery,Ian,Lavery,0
Ian Levy,Ian,Levy,0
Ian Liddell-Grainger,Ian,Liddell-Grainger,0
Ian Mearns,Ian,Mearns,0
Ian Murray,Ian,Murray,0
Ian Paisley Jr,Ian,Paisley,0
Imran Ahmad Khan,Imran,Ahmad Khan,0
Imran Hussain,Imran,Hussain,0
Jack Brereton,Jack,Brereton,0
Jack Dromey,Jack,Dromey,0
Jack Lopresti,Jack,Lopresti,0
Jackie Doyle-Price,Jackie,Doyle-Price,0
Jacob Rees-Mogg,Jacob,Rees-Mogg,0
Jacob Young,Jacob,Young,0
Jake Berry,Jake,Berry,0
James Brokenshire,James,Brokenshire,0
James Cartlidge,James,Cartlidge,0
James Cleverly,James,Cleverly,0
James Daly,James,Daly,0
James Davies,James,Davies,0
James Duddridge,James,Duddridge,0
James Gray,James,Gray,0
James Grundy,James,Grundy,0
James Heappey,James,Heappey,0
James Morris,James,Morris,0
James Murray,James,Murray,0
James Sunderland,James,Sunderland,0
James Wild,James,Wild,0
Jamie Stone,Jamie,Stone,0
Jamie Wallis,Jamie,Wallis,0
Jane Hunt,Jane,Hunt,0
Jane Stevenson,Jane,Stevenson,0
Janet Daby,Janet,Daby,0
Jason McCartney,Jason,McCartney,0
Jeff Smith,Jeff,Smith,0
Jeffrey Donaldson,Jeffrey,Donaldson,0
Jeremy Corbyn,Jeremy,Corbyn,0
Jeremy Hunt,Jeremy,Hunt,0
Jeremy Quin,Jeremy,Quin,0
Jeremy Wright,Jeremy,Wright,0
Jerome Mayhew,Jerome,Mayhew,0
Jess Phillips,Jess,Phillips,0
Jesse Norman,Jesse,Norman,0
Jessica Morden,Jessica,Morden,0
Jill Mortimer,Jill,Mortimer,0
Jim McMahon,Jim,McMahon,0
Jim Shannon,Jim,Shannon,0
Jo Churchill,Jo,Churchill,0
Jo Gideon,Jo,Gideon,0
Jo Stevens,Jo,Stevens,0
Joanna Cherry,Joanna,Cherry,0
John Baron,John,Baron,0
John Cryer,John,Cryer,0
John Finucane,John,Finucane,0
John Glen,John,Glen,0
John Hayes,John,Hayes,0
John Healey,John,Healey,0
John Howell,John,Howell,0
John Lamont,John,Lamont,0
John McDonnell,John,McDonnell,0
John McNally,John,McNally,0
John Nicolson,John,Nicolson,0
John Penrose,John,Penrose,0
John Redwood,John,Redwood,0
John Spellar,John,Spellar,0
John Stevenson,John,Stevenson,0
John Whittingdale,John,Whittingdale,0
Johnny Mercer,Johnny,Mercer,0
Jon Cruddas,Jon,Cruddas,0
Jon Trickett,Jon,Trickett,0
Jonathan Ashworth,Jonathan,Ashworth,0
Jonathan Djanogly,Jonathan,Djanogly,0
Jonathan Edwards,Jonathan,Edwards,0
Jonathan Gullis,Jonathan,Gullis,0
Jonathan Lord,Jonathan,Lord,0
Jonathan Reynolds,Jonathan,Reynolds,0
Joy Morrissey,Joy,Morrissey,0
Judith Cummins,Judith,Cummins,0
Julia Lopez,Julia,Lopez,0
Julian Knight,Julian,Knight,0
Julian Lewis,Julian,Lewis,0
Julian Smith,Julian,Smith,0
Julian Sturdy,Julian,Sturdy,0
Julie Elliott,Julie,Elliott,0
Julie Marson,Julie,Marson,0
Justin Madders,Justin,Madders,0
Justin Tomlinson,Justin,Tomlinson,0
Karen Bradley,Karen,Bradley,0
Karen Buck,Karen,Buck,0
Karin Smyth,Karin,Smyth,0
Karl McCartney,Karl,McCartney,0
Karl Turner,Karl,Turner,0
Kate Green,Kate,Green,0
Kate Griffiths,Kate,Griffiths,0
Kate Hollern,Kate,Hollern,0
Kate Osamor,Kate,Osamor,0
Kate Osborne,Kate,Osborne,0
Katherine Fletcher,Katherine,Fletcher,0
Keir Starmer,Keir,Starmer,0
Kelly Tolhurst,Kelly,Tolhurst,0
Kemi Badenoch,Kemi,Badenoch,0
Kenny MacAskill,Kenny,MacAskill,0
Kerry McCarthy,Kerry,McCarthy,0
Kevan Jones,Kevan,Jones,0
Kevin Brennan,Kevin,Brennan,0
Kevin Foster,Kevin,Foster,0
Kevin Hollinrake,Kevin,Hollinrake,0
Khalid Mahmood,Khalid,Mahmood,0
Kieran Mullan,Kieran,Mullan,0
Kim Johnson,Kim,Johnson,0
Kim Leadbeater,Kim,Leadbeater,0
Kirsten Oswald,Kirsten,Oswald,0
Kirsty Blackman,Kirsty,Blackman,0
Kit Malthouse,Kit,Malthouse,0
Laura Farris,Laura,Farris,0
Laura Trott,Laura,Trott,0
Laurence Robertson,Laurence,Robertson,0
Layla Moran,Layla,Moran,0
Lee Anderson,Lee,Anderson,0
Lee Rowley,Lee,Rowley,0
Leo Docherty,Leo,Docherty,0
Lia Nici,Lia,Nici,0
Liam Byrne,Liam,Byrne,0
Liam Fox,Liam,Fox,0
Lilian Greenwood,Lilian,Greenwood,0
Lindsay Hoyle,Lindsay,Hoyle,0
Lisa Cameron,Lisa,Cameron,0
Lisa Nandy,Lisa,Nandy,0
Liz Kendall,Liz,Kendall,0
Liz Saville Roberts,Liz,Saville Roberts,0
Liz Twist,Liz,Twist,0
Lloyd Russell-Moyle,Lloyd,Russell-Moyle,0
Louie French,Louie,French,0
Louise Haigh,Louise,Haigh,0
Lucy Allan,Lucy,Allan,0
Lucy Frazer,Lucy,Frazer,0
Lucy Powell,Lucy,Powell,0
Luke Evans,Luke,Evans,0
Luke Hall,Luke,Hall,0
Luke Pollard,Luke,Pollard,0
Lyn Brown,Lyn,Brown,0
Maggie Throup,Maggie,Throup,0
Marco Longhi,Marco,Longhi,0
Marcus Fysh,Marcus,Fysh,0
Marcus Jones,Marcus,Jones,0
Margaret Beckett,Margaret,Beckett,0
Margaret Ferrier,Margaret,Ferrier,0
Margaret Greenwood,Margaret,Greenwood,0
Margaret Hodge,Margaret,Hodge,0
Maria Caulfield,Maria,Caulfield,0
Maria Eagle,Maria,Eagle,0
Maria Miller,Maria,Miller,0
Marie Rimmer,Marie,Rimmer,0
Marion Fellows,Marion,Fellows,0
Mark Eastwood,Mark,Eastwood,0
Mark Fletcher,Mark,Fletcher,0
Mark Francois,Mark,Francois,0
Mark Garnier,Mark,Garnier,0
Mark Harper,Mark,Harper,0
Mark Hendrick,Mark,Hendrick,0
Mark Jenkinson,Mark,Jenkinson,0
Mark Logan,Mark,Logan,0
Mark Menzies,Mark,Menzies,0
Mark Pawsey,Mark,Pawsey,0
Mark Pritchard,Mark,Pritchard,0
Mark Spencer,Mark,Spencer,0
Mark Tami,Mark,Tami,0
Marsha de Cordova,Marsha,de Cordova,0
Martin Docherty-Hughes,Martin,Docherty-Hughes,0
Martin Vickers,Martin,Vickers,0
Martyn Day,Martyn,Day,0
Mary Foy,Mary,Foy,0
Mary Glindon,Mary,Glindon,0
Mary Robinson,Mary,Robinson,0
Matt Hancock,Matt,Hancock,0
Matt Rodda,Matt,Rodda,0
Matt Vickers,Matt,Vickers,0
Matt Warman,Matt,Warman,0
Matt Western,Matt,Western,0
Matthew Offord,Matthew,Offord,0
Matthew Pennycook,Matthew,Pennycook,0
Meg Hillier,Meg,Hillier,0
Mel Stride,Mel,Stride,0
Mhairi Black,Mhairi,Black,0
Michael Ellis,Michael,Ellis,0
Michael Fabricant,Michael,Fabricant,0
Michael Gove,Michael,Gove,0
Michael Tomlinson-Mynors,Michael,Tomlinson-Mynors,0
Michelle Donelan,Michelle,Donelan,0
Michelle Gildernew,Michelle,Gildernew,0
Mick Whitley,Mick,Whitley,0
Mickey Brady,Mickey,Brady,0
Mike Amesbury,Mike,Amesbury,0
Mike Freer,Mike,Freer,0
Mike Hill,Mike,Hill,0
Mike Kane,Mike,Kane,0
Mike Penning,Mike,Penning,0
Mike Wood,Mike,Wood,0
Mims Davies,Mims,Davies,0
Miriam Cates,Miriam,Cates,0
Mohammad Yasin,Mohammad,Yasin,0
Munira Wilson,Munira,Wilson,0
Nadhim Zahawi,Nadhim,Zahawi,0
Nadia Whittome,Nadia,Whittome,0
Nadine Dorries,Nadine,Dorries,0
Natalie Elphicke,Natalie,Elphicke,0
Navendu Mishra,Navendu,Mishra,0
Naz Shah,Naz,Shah,0
Neale Hanvey,Neale,Hanvey,0
Neil Coyle,Neil,Coyle,0
Neil Gray,Neil,Gray,0
Neil Hudson,Neil,Hudson,0
Neil O'Brien,Neil,O'Brien,0
Neil Parish,Neil,Parish,0
Nia Griffith,Nia,Griffith,0
Nick Brown,Nick,Brown,0
Nick Fletcher,Nick,Fletcher,0
Nick Gibb,Nick,Gibb,0
Nick Smith,Nick,Smith,0
Nick Thomas-Symonds,Nick,Thomas-Symonds,0
Nickie Aiken,Nickie,Aiken,0
Nicola Richards,Nicola,Richards,0
Nigel Adams,Nigel,Adams,0
Nigel Evans,Nigel,Evans,0
Nigel Huddleston,Nigel,Huddleston,0
Nigel Mills,Nigel,Mills,0
Nus Ghani,Nus,Ghani,0
Oliver Dowden,Oliver,Dowden,0
Oliver Heald,Oliver,Heald,0
Olivia Blake,Olivia,Blake,0
Órfhlaith Begley,Órfhlaith,Begley,0
Owen Paterson,Owen,Paterson,0
Owen Thompson,Owen,Thompson,0
Pat McFadden,Pat,McFadden,0
Patricia Gibson,Patricia,Gibson,0
Patrick Grady,Patrick,Grady,0
Paul Beresford,Paul,Beresford,0
Paul Blomfield,Paul,Blomfield,0
Paul Bristow,Paul,Bristow,0
Paul Girvan,Paul,Girvan,0
Paul Holmes,Paul,Holmes,0
Paul Howell,Paul,Howell,0
Paul Maskey,Paul,Maskey,0
Paul Maynard,Paul,Maynard,0
Paul Scully,Paul,Scully,0
Paula Barker,Paula,Barker,0
Pauline Latham,Pauline,Latham,0
Penny Mordaunt,Penny,Mordaunt,0
Pete Wishart,Pete,Wishart,0
Peter Aldous,Peter,Aldous,0
Peter Bone,Peter,Bone,0
Peter Bottomley,Peter,Bottomley,0
Peter Dowd,Peter,Dowd,0
Peter Gibson,Peter,Gibson,0
Peter Grant,Peter,Grant,0
Peter Kyle,Peter,Kyle,0
Philip Davies,Philip,Davies,0
Philip Dunne,Philip,Dunne,0
Philip Hollobone,Philip,Hollobone,0
Philippa Whitford,Philippa,Whitford,0
Preet Gill,Preet,Gill,0
Priti Patel,Priti,Patel,0
Rachael Maskell,Rachael,Maskell,0
Rachel Hopkins,Rachel,Hopkins,0
Rachel Maclean,Rachel,Maclean,0
Rachel Reeves,Rachel,Reeves,0
Ranil Jayawardena,Ranil,Jayawardena,0
Rebecca Harris,Rebecca,Harris,0
Rebecca Long-Bailey,Rebecca,Long-Bailey,0
Rebecca Pow,Rebecca,Pow,0
Rehman Chishti,Rehman,Chishti,0
Richard Bacon,Richard,Bacon,0
Richard Burgon,Richard,Burgon,0
Richard Drax,Richard,Drax,0
Richard Fuller,Richard,Fuller,0
Richard Graham,Richard,Graham,0
Richard Holden,Richard,Holden,0
Richard Thomson,Richard,Thomson,0
Rishi Sunak,Rishi,Sunak,0
Rob Butler,Rob,Butler,0
Rob Roberts,Rob,Roberts,0
Robbie Moore,Robbie,Moore,0
Robert Buckland,Robert,Buckland,0
Robert Courts,Robert,Courts,0
Robert Goodwill,Robert,Goodwill,0
Robert Halfon,Robert,Halfon,0
Robert Jenrick,Robert,Jenrick,0
Robert Largan,Robert,Largan,0
Robert Syms,Robert,Syms,0
Robin Millar,Robin,Millar,0
Robin Walker,Robin,Walker,0
Roger Gale,Roger,Gale,0
Ronnie Cowan,Ronnie,Cowan,0
Rosena Allin-Khan,Rosena,Allin-Khan,0
Rosie Cooper,Rosie,Cooper,0
Rosie Duffield,Rosie,Duffield,0
Rosie Winterton,Rosie,Winterton,0
Royston Smith,Royston,Smith,0
Rupa Huq,Rupa,Huq,0
Rushanara Ali,Rushanara,Ali,0
Ruth Cadbury,Ruth,Cadbury,0
Ruth Edwards,Ruth,Edwards,0
Ruth Jones,Ruth,Jones,0
Sajid Javid,Sajid,Javid,0
Sally-Ann Hart,Sally-Ann,Hart,0
Sam Tarry,Sam,Tarry,0
Sammy Wilson,Sammy,Wilson,0
Saqib Bhatti,Saqib,Bhatti,0
Sara Britcliffe,Sara,Britcliffe,0
Sarah Atherton,Sarah,Atherton,0
Sarah Champion,Sarah,Champion,0
