full_name,given_name,surname,irish_flag
Denis Naughten,Denis,Naughten,1
Maureen O'Sullivan,Maureen,O'Sullivan,1
Thomas Pringle,Thomas,Pringle,1
Shane Ross,Shane,Ross,1
Katherine Zappone,Katherine,Zappone,1
Seán Barrett,Seán,Barrett,1
Chris Andrews,Chris,Andrews,1
Cathal Berry,Cathal,Berry,1
Martin Browne,Martin,Browne,1
Colm Burke,Colm,Burke,1
Holly Cairns,Holly,Cairns,1
Matt Carthy,Matt,Carthy,1
Sorca Clarke,Sorca,Clarke,1
Rose Conway-Walsh,Rose,Conway-Walsh,1
Patrick Costello,Patrick,Costello,1
Réada Cronin,Réada,Cronin,1
Cathal Crowe,Cathal,Crowe,1
Pa Daly,Pa,Daly,1
Cormac Devlin,Cormac,Devlin,1
Alan Dillon,Alan,Dillon,1
Paul Donnelly,Paul,Donnelly,1
Francis Noel Duffy,Francis Noel,Duffy,1
Mairéad Farrell,Mairéad,Farrell,1
Frank Feighan,Frank,Feighan,1
Joe Flaherty,Joe,Flaherty,1
Norma Foley,Norma,Foley,1
Gary Gannon,Gary,Gannon,1
Thomas Gould,Thomas,Gould,1
Johnny Guirke,Johnny,Guirke,1
Marian Harkin,Marian,Harkin,1
Emer Higgins,Emer,Higgins,1
Neasa Hourigan,Neasa,Hourigan,1
Claire Kerrane,Claire,Kerrane,1
Brian Leddin,Brian,Leddin,1
Pádraig Mac Lochlainn,Pádraig,Mac Lochlainn,1
Jennifer Carroll MacNeill,Jennifer,Carroll MacNeill,1
Steven Matthews,Steven,Matthews,1
Paul McAuliffe,Paul,McAuliffe,1
Michael McNamara,Michael,McNamara,1
Jennifer Murnane O'Connor,Jennifer,Murnane O'Connor,1
Verona Murphy,Verona,Murphy,1
Johnny Mythen,Johnny,Mythen,1
Ged Nash,Ged,Nash,1
Malcolm Noonan,Malcolm,Noonan,1
Joe O'Brien,Joe,O'Brien,1
Cian O'Callaghan,Cian,O'Callaghan,1
Marc Ó Cathasaigh,Marc,Ó Cathasaigh,1
James O'Connor,James,O'Connor,1
Kieran O'Donnell,Kieran,O'Donnell,1
Richard O'Donoghue,Richard,O'Donoghue,1
Roderic O'Gorman,Roderic,O'Gorman,1
Ruairí Ó Murchú,Ruairí,Ó Murchú,1
Aodhán Ó Ríordáin,Aodhán,Ó Ríordáin,1
Darren O'Rourke,Darren,O'Rourke,1
Christopher O'Sullivan,Christopher,O'Sullivan,1
Pádraig O'Sullivan,Pádraig,O'Sullivan,1
Neale Richmond,Neale,Richmond,1
Patricia Ryan,Patricia,Ryan,1
Matt Shanahan,Matt,Shanahan,1
Duncan Smith,Duncan,Smith,1
Ossian Smyth,Ossian,Smyth,1
Pauline Tully,Pauline,Tully,1
Mark Ward,Mark,Ward,1
Jennifer Whitmore,Jennifer,Whitmore,1
Violet-Anne Wynne,Violet-Anne,Wynne,1
Richard Shelby,Richard,Shelby,0
Tommy Tuberville,Tommy,Tuberville,0
Lisa Murkowski,Lisa,Murkowski,0
Daniel S. Sullivan,Daniel,Sullivan,0
Mark Kelly,Mark,Kelly,0
Kyrsten Sinema,Kyrsten,Sinema,0
John Boozman,John,Boozman,0
Tom Cotton,Tom,Cotton,0
Dianne Feinstein,Dianne,Feinstein,0
Alex Padilla,Alex,Padilla,0
Michael Bennet,Michael,Bennet,0
John Hickenlooper,John,Hickenlooper,0
Richard Blumenthal,Richard,Blumenthal,0
Christopher S. Murphy,Christopher,Murphy,0
Tom Carper,Tom,Carper,0
Chris Coons,Chris,Coons,0
Marco Rubio,Marco,Rubio,0
Rick Scott,Rick,Scott,0
Jon Ossoff,Jon,Ossoff,0
Raphael Warnock,Raphael,Warnock,0
Mazie K. Hirono,Mazie,Hirono,0
Brian E. Schatz,Brian,Schatz,0
Mike Crapo,Mike,Crapo,0
Jim Risch,Jim,Risch,0
Tammy Duckworth,Tammy,Duckworth,0
Dick Durbin,Dick,Durbin,0
Mike Braun,Mike,Braun,0
Todd C. Young,Todd,Young,0
Joni Ernst,Joni,Ernst,0
Chuck Grassley,Chuck,Grassley,0
Roger Marshall,Roger,Marshall,0
Jerry Moran,Jerry,Moran,0
Mitch McConnell,Mitch,McConnell,0
Rand Paul,Rand,Paul,0
Bill Cassidy,Bill,Cassidy,0
John Neely Kennedy,John,Neely Kennedy,0
Susan Collins,Susan,Collins,0
Angus King,Angus,King,0
Ben Cardin,Ben,Cardin,0
Chris Van Hollen,Chris,Van Hollen,0
Edward J. Markey,Edward,Markey,0
Elizabeth Warren,Elizabeth,Warren,0
Gary Peters,Gary,Peters,0
Debbie Stabenow,Debbie,Stabenow,0
Amy Klobuchar,Amy,Klobuchar,0
Tina Smith,Tina,Smith,0
Cindy Hyde-Smith,Cindy,Hyde-Smith,0
Roger Wicker,Roger,Wicker,0
