full_name,given_name,surname,full_name_plain,given_name_plain,surname_plain,irish_flag
Louise O'Reilly,Louise,O'Reilly,LouiseOReilly,Louise,OReilly,1
Aengus Ó Snodaigh,Aengus,Ó Snodaigh,AengusOSnodaigh,Aengus,OSnodaigh,1
Maurice Quinlivan,Maurice,Quinlivan,MauriceQuinlivan,Maurice,Quinlivan,1
Brian Stanley,Brian,Stanley,BrianStanley,Brian,Stanley,1
Peadar Tóibín,Peadar,Tóibín,PeadarTOibin,Peadar,TOibin,1
Joan Burton,Joan,Burton,JoanBurton,Joan,Burton,1
Brendan Howlin,Brendan,Howlin,BrendanHowlin,Brendan,Howlin,1
Alan Kelly,Alan,Kelly,AlanKelly,Alan,Kelly,1
Jan O'Sullivan,Jan,O'Sullivan,JanOSullivan,Jan,OSullivan,1
Willie Penrose,Willie,Penrose,WilliePenrose,Willie,Penrose,1
Brendan Ryan,Brendan,Ryan,BrendanRyan,Brendan,Ryan,1
Seán Sherlock,Seán,Sherlock,SeanSherlock,Sean,Sherlock,1
Richard Boyd Barrett,Richard,Boyd Barrett,RichardBoydBarrett,Richard,BoydBarrett,1
Mick Barry,Mick,Barry,MickBarry,Mick,Barry,1
Ruth Coppinger,Ruth,Coppinger,RuthCoppinger,Ruth,Coppinger,1
Gino Kenny,Gino,Kenny,GinoKenny,Gino,Kenny,1
Paul Murphy,Paul,Murphy,PaulMurphy,Paul,Murphy,1
Bríd Smith,Bríd,Smith,BridSmith,Brid,Smith,1
Tommy Broughan,Tommy,Broughan,TommyBroughan,Tommy,Broughan,1
Joan Collins,Joan,Collins,JoanCollins,Joan,Collins,1
Clare Daly,Clare,Daly,ClareDaly,Clare,Daly,1
Mick Wallace,Mick,Wallace,MickWallace,Mick,Wallace,1
Stephen Donnelly,Stephen,Donnelly,StephenDonnelly,Stephen,Donnelly,1
Catherine Murphy,Catherine,Murphy,CatherineMurphy,Catherine,Murphy,1
Róisín Shortall,Róisín,Shortall,ROisinShortall,Roisin,Shortall,1
Catherine Martin,Catherine,Martin,CatherineMartin,Catherine,Martin,1
Eamon Ryan,Eamon,Ryan,EamonRyan,Eamon,Ryan,1
Seán Canney,Seán,Canney,SeanCanney,Sean,Canney,1
Séamus Healy,Séamus,Healy,SEamusHealy,Eamon,Healy,1
Michael Collins,Michael,Collins,MichaelCollins,Michael,Collins,1
Catherine Connolly,Catherine,Connolly,CatherineConnolly,Catherine,Connolly,1
Michael Fitzmaurice,Michael,Fitzmaurice,MichaelFitzmaurice,Michael,Fitzmaurice,1
Noel Grealish,Noel,Grealish,NoelGrealish,Noel,Grealish,1
John Halligan,John,Halligan,JohnHalligan,John,Halligan,1
Danny Healy-Rae,Danny,Healy-Rae,DannyHealyRae,Danny,HealyRae,1
Michael Healy-Rae,Michael,Healy-Rae,MichaelHealyRae,Michael,HealyRae,1
Michael Harty,Michael,Harty,MichaelHarty,Michael,Harty,1
Michael Lowry,Michael,Lowry,MichaelLowry,Michael,Lowry,1
Finian McGrath,Finian,McGrath,FinianMcGrath,Finian,McGrath,1
Mattie McGrath,Mattie,McGrath,MattieMcGrath,Mattie,McGrath,1
"Kevin ""Boxer"" Moran",Kevin,Boxer Moran,KevinMoran,Kevin,BoxerMoran,1
Denis Naughten,Denis,Naughten,DenisNaughten,Denis,Naughten,1
Maureen O'Sullivan,Maureen,O'Sullivan,MaureenOSullivan,Maureen,OSullivan,1
Thomas Pringle,Thomas,Pringle,ThomasPringle,Thomas,Pringle,1
Shane Ross,Shane,Ross,ShaneRoss,Shane,Ross,1
Katherine Zappone,Katherine,Zappone,KatherineZappone,Katherine,Zappone,1
Seán Barrett,Seán,Barrett,SeanBarrett,Sean,Barrett,1
Chris Andrews,Chris,Andrews,ChrisAndrews,Chris,Andrews,1
Cathal Berry,Cathal,Berry,CathalBerry,Cathal,Berry,1
Martin Browne,Martin,Browne,MartinBrowne,Martin,Browne,1
Colm Burke,Colm,Burke,ColmBurke,Colm,Burke,1
Holly Cairns,Holly,Cairns,HollyCairns,Holly,Cairns,1
Matt Carthy,Matt,Carthy,MattCarthy,Matt,Carthy,1
Sorca Clarke,Sorca,Clarke,SorcaClarke,Sorca,Clarke,1
Rose Conway-Walsh,Rose,Conway-Walsh,RoseConwayWalsh,Rose,ConwayWalsh,1
Patrick Costello,Patrick,Costello,PatrickCostello,Patrick,Costello,1
Réada Cronin,Réada,Cronin,REadaCronin,REada,Cronin,1
Cathal Crowe,Cathal,Crowe,CathalCrowe,Cathal,Crowe,1
Pa Daly,Pa,Daly,PaDaly,Pa,Daly,1
Cormac Devlin,Cormac,Devlin,CormacDevlin,Cormac,Devlin,1
Alan Dillon,Alan,Dillon,AlanDillon,Alan,Dillon,1
Paul Donnelly,Paul,Donnelly,PaulDonnelly,Paul,Donnelly,1
Francis Noel Duffy,Francis Noel,Duffy,FrancisNoelDuffy,FrancisNoel,Duffy,1
Mairéad Farrell,Mairéad,Farrell,MairEadFarrell,MairEad,Farrell,1
Frank Feighan,Frank,Feighan,FrankFeighan,Frank,Feighan,1
Joe Flaherty,Joe,Flaherty,JoeFlaherty,Joe,Flaherty,1
Norma Foley,Norma,Foley,NormaFoley,Norma,Foley,1
Gary Gannon,Gary,Gannon,GaryGannon,Gary,Gannon,1
Thomas Gould,Thomas,Gould,ThomasGould,Thomas,Gould,1
Johnny Guirke,Johnny,Guirke,JohnnyGuirke,Johnny,Guirke,1
Marian Harkin,Marian,Harkin,MarianHarkin,Marian,Harkin,1
Emer Higgins,Emer,Higgins,EmerHiggins,Emer,Higgins,1
Neasa Hourigan,Neasa,Hourigan,NeasaHourigan,Neasa,Hourigan,1
Claire Kerrane,Claire,Kerrane,ClaireKerrane,Claire,Kerrane,1
Brian Leddin,Brian,Leddin,BrianLeddin,Brian,Leddin,1
Pádraig Mac Lochlainn,Pádraig,Mac Lochlainn,PadraigMacLochlainn,Padraig,MacLochlainn,1
Jennifer Carroll MacNeill,Jennifer,Carroll MacNeill,JenniferCarrollMacNeill,Jennifer,CarrollMacNeill,1
Steven Matthews,Steven,Matthews,StevenMatthews,Steven,Matthews,1
Paul McAuliffe,Paul,McAuliffe,PaulMcAuliffe,Paul,McAuliffe,1
Michael McNamara,Michael,McNamara,MichaelMcNamara,Michael,McNamara,1
Jennifer Murnane O'Connor,Jennifer,Murnane O'Connor,JenniferMurnaneOConnor,Jennifer,MurnaneOConnor,1
Verona Murphy,Verona,Murphy,VeronaMurphy,Verona,Murphy,1
Johnny Mythen,Johnny,Mythen,JohnnyMythen,Johnny,Mythen,1
Ged Nash,Ged,Nash,GedNash,Ged,Nash,1
Malcolm Noonan,Malcolm,Noonan,MalcolmNoonan,Malcolm,Noonan,1
Joe O'Brien,Joe,O'Brien,JoeOBrien,Joe,OBrien,1
Cian O'Callaghan,Cian,O'Callaghan,CianOCallaghan,Cian,OCallaghan,1
Marc Ó Cathasaigh,Marc,Ó Cathasaigh,MarcOCathasaigh,Marc,OCathasaigh,1
James O'Connor,James,O'Connor,JamesOConnor,James,OConnor,1
Kieran O'Donnell,Kieran,O'Donnell,KieranODonnell,Kieran,ODonnell,1
Richard O'Donoghue,Richard,O'Donoghue,RichardODonoghue,Richard,ODonoghue,1
Roderic O'Gorman,Roderic,O'Gorman,RodericOGorman,Roderic,OGorman,1
Ruairí Ó Murchú,Ruairí,Ó Murchú,RuairiOMurchú,Ruairi,OMurchu,1
Aodhán Ó Ríordáin,Aodhán,Ó Ríordáin,AodhanORiordain,Aodhan,ORiordain,1
Darren O'Rourke,Darren,O'Rourke,DarrenORourke,Darren,ORourke,1
Christopher O'Sullivan,Christopher,O'Sullivan,ChristopherOSullivan,Christopher,OSullivan,1
Pádraig O'Sullivan,Pádraig,O'Sullivan,PadraigOSullivan,Padraig,OSullivan,1
Neale Richmond,Neale,Richmond,NealeRichmond,Neale,Richmond,1
Patricia Ryan,Patricia,Ryan,PatriciaRyan,Patricia,Ryan,1
Matt Shanahan,Matt,Shanahan,MattShanahan,Matt,Shanahan,1
Duncan Smith,Duncan,Smith,DuncanSmith,Duncan,Smith,1
Ossian Smyth,Ossian,Smyth,OssianSmyth,Ossian,Smyth,1
Pauline Tully,Pauline,Tully,PaulineTully,Pauline,Tully,1
Mark Ward,Mark,Ward,MarkWard,Mark,Ward,1
Jennifer Whitmore,Jennifer,Whitmore,JenniferWhitmore,Jennifer,Whitmore,1
Violet-Anne Wynne,Violet-Anne,Wynne,VioletAnneWynne,VioletAnne,Wynne,1
Richard Shelby,Richard,Shelby,RichardShelby,Richard,Shelby,0
Tommy Tuberville,Tommy,Tuberville,TommyTuberville,Tommy,Tuberville,0
Lisa Murkowski,Lisa,Murkowski,LisaMurkowski,Lisa,Murkowski,0
Daniel S. Sullivan,Daniel,Sullivan,DanielSullivan,Daniel,Sullivan,0
Mark Kelly,Mark,Kelly,MarkKelly,Mark,Kelly,0
Kyrsten Sinema,Kyrsten,Sinema,KyrstenSinema,Kyrsten,Sinema,0
John Boozman,John,Boozman,JohnBoozman,John,Boozman,0
Tom Cotton,Tom,Cotton,TomCotton,Tom,Cotton,0
Dianne Feinstein,Dianne,Feinstein,DianneFeinstein,Dianne,Feinstein,0
Alex Padilla,Alex,Padilla,AlexPadilla,Alex,Padilla,0
Michael Bennet,Michael,Bennet,MichaelBennet,Michael,Bennet,0
John Hickenlooper,John,Hickenlooper,JohnHickenlooper,John,Hickenlooper,0
Richard Blumenthal,Richard,Blumenthal,RichardBlumenthal,Richard,Blumenthal,0
Christopher S. Murphy,Christopher,Murphy,ChristopherMurphy,Christopher,Murphy,0
Tom Carper,Tom,Carper,TomCarper,Tom,Carper,0
Chris Coons,Chris,Coons,ChrisCoons,Chris,Coons,0
Marco Rubio,Marco,Rubio,MarcoRubio,Marco,Rubio,0
Rick Scott,Rick,Scott,RickScott,Rick,Scott,0
Jon Ossoff,Jon,Ossoff,JonOssoff,Jon,Ossoff,0
Raphael Warnock,Raphael,Warnock,RaphaelWarnock,Raphael,Warnock,0
Mazie K. Hirono,Mazie,Hirono,MazieKHirono,Mazie,Hirono,0
Brian E. Schatz,Brian,Schatz,BrianESchatz,Brian,Schatz,0
Mike Crapo,Mike,Crapo,MikeCrapo,Mike,Crapo,0
Jim Risch,Jim,Risch,JimRisch,Jim,Risch,0
Tammy Duckworth,Tammy,Duckworth,TammyDuckworth,Tammy,Duckworth,0
Dick Durbin,Dick,Durbin,DickDurbin,Dick,Durbin,0
Mike Braun,Mike,Braun,MikeBraun,Mike,Braun,0
Todd C. Young,Todd,Young,ToddCYoung,Todd,Young,0
Joni Ernst,Joni,Ernst,JoniErnst,Joni,Ernst,0
Chuck Grassley,Chuck,Grassley,ChuckGrassley,Chuck,Grassley,0
Roger Marshall,Roger,Marshall,RogerMarshall,Roger,Marshall,0
Jerry Moran,Jerry,Moran,JerryMoran,Jerry,Moran,0
Mitch McConnell,Mitch,McConnell,MitchMcConnell,Mitch,McConnell,0
Rand Paul,Rand,Paul,RandPaul,Rand,Paul,0
Bill Cassidy,Bill,Cassidy,BillCassidy,Bill,Cassidy,0
John Neely Kennedy,John,Neely Kennedy,JohnNeelyKennedy,John,NeelyKennedy,0
Susan Collins,Susan,Collins,SusanCollins,Susan,Collins,0
Angus King,Angus,King,AngusKing,Angus,King,0
Ben Cardin,Ben,Cardin,BenCardin,Ben,Cardin,0
Chris Van Hollen,Chris,Van Hollen,ChrisVanHollen,Chris,VanHollen,0
Edward J. Markey,Edward,Markey,EdwardJMarkey,Edward,Markey,0
Elizabeth Warren,Elizabeth,Warren,ElizabethWarren,Elizabeth,Warren,0
Gary Peters,Gary,Peters,GaryPeters,Gary,Peters,0
Debbie Stabenow,Debbie,Stabenow,DebbieStabenow,Debbie,Stabenow,0
Amy Klobuchar,Amy,Klobuchar,AmyKlobuchar,Amy,Klobuchar,0
Tina Smith,Tina,Smith,TinaSmith,Tina,Smith,0
Cindy Hyde-Smith,Cindy,Hyde-Smith,CindyHydeSmith,Cindy,HydeSmith,0
Roger Wicker,Roger,Wicker,RogerWicker,Roger,Wicker,0
Roy Blunt,Roy,Blunt,RoyBlunt,Roy,Blunt,0
Josh Hawley,Josh,Hawley,JoshHawley,Josh,Hawley,0
Steve Daines,Steve,Daines,SteveDaines,Steve,Daines,0
Jon Tester,Jon,Tester,JonTester,Jon,Tester,0
Deb Fischer,Deb,Fischer,DebFischer,Deb,Fischer,0
Ben Sasse,Ben,Sasse,BenSasse,Ben,Sasse,0
Catherine Cortez Masto,Catherine,Cortez Masto,CatherineCortezMasto,Catherine,CortezMasto,0
Jacky Rosen,Jacky,Rosen,JackyRosen,Jacky,Rosen,0
Maggie Hassan,Maggie,Hassan,MaggieHassan,Maggie,Hassan,0
Jeanne Shaheen,Jeanne,Shaheen,JeanneShaheen,Jeanne,Shaheen,0
Cory Booker,Cory,Booker,CoryBooker,Cory,Booker,0
Bob Menendez,Bob,Menendez,BobMenendez,Bob,Menendez,0
Martin Heinrich,Martin,Heinrich,MartinHeinrich,Martin,Heinrich,0
Ben Ray Luján,Ben,Luján,BenRayLujan,Ben,Lujan,0
Kirsten Gillibrand,Kirsten,Gillibrand,KirstenGillibrand,Kirsten,Gillibrand,0
Chuck Schumer,Chuck,Schumer,ChuckSchumer,Chuck,Schumer,0
Richard Burr,Richard,Burr,RichardBurr,Richard,Burr,0
Thom Tillis,Thom,Tillis,ThomTillis,Thom,Tillis,0
Kevin Cramer,Kevin,Cramer,KevinCramer,Kevin,Cramer,0
John Hoeven,John,Hoeven,JohnHoeven,John,Hoeven,0
Sherrod Brown,Sherrod,Brown,SherrodBrown,Sherrod,Brown,0
Rob Portman,Rob,Portman,RobPortman,Rob,Portman,0
Jim Inhofe,Jim,Inhofe,JimInhofe,Jim,Inhofe,0
James Lankford,James,Lankford,JamesLankford,James,Lankford,0
Jeff Merkley,Jeff,Merkley,JeffMerkley,Jeff,Merkley,0
Ron Wyden,Ron,Wyden,RonWyden,Ron,Wyden,0
Bob Casey Jr.,Bob,Casey,BobCaseyJr,Bob,Casey,0
Pat Toomey,Pat,Toomey,PatToomey,Pat,Toomey,0
Jack Reed,Jack,Reed,JackReed,Jack,Reed,0
Sheldon Whitehouse,Sheldon,Whitehouse,SheldonWhitehouse,Sheldon,Whitehouse,0
Lindsey Graham,Lindsey,Graham,LindseyGraham,Lindsey,Graham,0
Tim Scott,Tim,Scott,TimScott,Tim,Scott,0
Mike Rounds,Mike,Rounds,MikeRounds,Mike,Rounds,0
John Thune,John,Thune,JohnThune,John,Thune,0
Marsha Blackburn,Marsha,Blackburn,MarshaBlackburn,Marsha,Blackburn,0
Bill Hagerty,Bill,Hagerty,BillHagerty,Bill,Hagerty,0
John Cornyn,John,Cornyn,JohnCornyn,John,Cornyn,0
Ted Cruz,Ted,Cruz,TedCruz,Ted,Cruz,0
Mike Lee,Mike,Lee,MikeLee,Mike,Lee,0
Mitt Romney,Mitt,Romney,MittRomney,Mitt,Romney,0
Patrick Leahy,Patrick,Leahy,PatrickLeahy,Patrick,Leahy,0
Bernie Sanders,Bernie,Sanders,BernieSanders,Bernie,Sanders,0
Tim Kaine,Tim,Kaine,TimKaine,Tim,Kaine,0
Mark Warner,Mark,Warner,MarkWarner,Mark,Warner,0
